-- BUBBLE SORT
1a rodada: 
89, 54, 18, 71, 93, 45, 19, 14, 99, 2, 27, 3, 58, 91, 75
54, 89, 18, 71, 93, 45, 19, 14, 99, 2, 27, 3, 58, 91, 75
54, 19, 89, 71, 93, 45, 19, 14, 99, 2, 27, 3, 58, 91, 75
54, 19, 71, 89, 93, 45, 19, 14, 99, 2, 27, 3, 58, 91, 75
54, 19, 71, 89, 93, 45, 19, 14, 99, 2, 27, 3, 58, 91, 75
54, 19, 71, 89, 45, 93, 19, 14, 99, 2, 27, 3, 58, 91, 75
54, 19, 71, 89, 45, 19, 93, 14, 99, 2, 27, 3, 58, 91, 75
54, 19, 71, 89, 45, 19, 14, 93, 99, 2, 27, 3, 58, 91, 75
54, 19, 71, 89, 45, 19, 14, 93, 2, 99, 27, 3, 58, 91, 75
54, 19, 71, 89, 45, 19, 14, 93, 2, 27, 99, 3, 58, 91, 75
54, 19, 71, 89, 45, 19, 14, 93, 2, 27, 3, 99, 58, 91, 75
54, 19, 71, 89, 45, 19, 14, 93, 2, 27, 3, 58, 99, 91, 75
54, 19, 71, 89, 45, 19, 14, 93, 2, 27, 3, 58, 91, 99, 75
54, 19, 71, 89, 45, 19, 14, 93, 2, 27, 3, 58, 91, 75, 99
